"Study.Num","replicate","Segment","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
124,"0",1,931,90.62,79.88,3.49,98.13,30.03,28.46,67.88,37.16,6.66,2.69,0,0.21,0,0.75,1.72,3.97,5.69,12.89,5.48,2.36,5.05,1.07,8.06,4.3,2.69,1.72,8.06,1.4,8.92,7.2,1.72,1.5,1.5,0,11.71,0,0.21,3.11,0.75,10.31,2.9,2.26,1.4,1.29,1.4,2.47,1.93,1.5,0,0.11,0.21,0.11,0,0,0,7.09,2.9,1.29,2.47,0.64,1.5,3.54,3.33,0.43,6.87,0.21,4.94,1.72,2.15,0.43,0.11,0.21,0.32,0,0.43,0,0.21,0,0.21,0,25.13,4.3,10.2,0.11,0.43,0.11,0,3.54,0.43,0.43,4.73,0.86
127,"1",1,4164,98.53,48.75,53.13,45.63,24.49,28.24,69.48,37.75,3.17,0.89,0.02,0.6,0.07,0,0.19,2.28,8.55,16.04,4.2,1.71,4.51,0.72,8.09,3.67,2.69,0.7,8.31,1.99,1.56,1.32,0.24,0,0.02,0.07,3.36,0,0.02,0.02,0.02,11.96,3.15,3.87,0.6,2.04,0.7,3.6,4.73,3.46,0.12,0.02,1.25,0.96,0.24,0.02,0.05,3.29,0.74,0.58,1.9,0.22,0.19,4.27,2.45,0.31,15.3,4.61,8.29,2.47,1.97,0.05,0.12,0.19,0,0,0.19,0,0.17,0,0.02,0,22.79,4.63,6.24,0.29,0.89,0,0,1.97,0.46,0.12,5.52,2.67
129,"0",1,2765,94.23,62.63,33.94,15.15,26.33,31.86,71.39,34.03,4.45,1.45,0.04,0.47,0,0.04,0.9,3,5.53,13.2,3.98,2.64,5.28,0.83,6.47,7.2,3.07,0.94,6.44,1.56,4.16,1.66,2.42,1.34,0.83,0.4,7.27,0,0.04,0.76,0.18,13.92,4.88,3.22,0.61,2.1,1.08,3.65,4.95,3.91,0.14,0.33,3.33,2.42,0.33,0.07,0.58,6.87,1.19,1.45,3.36,0.4,0.98,4.23,2.53,0.76,10.6,0.8,6.98,2.97,3.33,0.58,0.07,0.18,0,0,1.63,0,1.48,0.04,0.14,0,26.4,5.06,9.04,0.14,0.58,0,0,3.47,0.29,0.9,5.71,1.19
132,"0",1,1028,93.12,85.77,21.4,18.59,22.84,31.13,79.96,42.32,7.39,2.63,0,0.88,0.68,0.19,0.88,4.77,9.63,12.65,6.52,2.72,4.67,0.68,11.48,3.4,1.85,1.46,6.13,2.92,2.33,0.88,1.36,0,0.88,0.19,13.13,0.1,0,0.39,0.29,14.49,3.99,2.63,1.07,4.09,0.78,3.31,6.23,4.38,1.56,0.1,0.88,0.78,0.1,0,0,8.56,5.54,1.26,2.04,0,0,3.31,5.93,2.14,10.21,1.75,6.23,2.24,3.5,0.49,0.29,0.58,0.1,0,0,0,0,0,0,0,23.05,4.57,7.49,0.19,0.29,0.19,0,2.04,0.78,1.26,4.96,1.26
133,"1",1,6479,96.79,53.52,27.83,84.36,24.36,33.03,72.11,39.53,4.48,1.33,0.02,0.77,0.32,0,0.22,3.15,8.98,14.32,5.51,2.62,4.57,0.68,8.61,5.85,3.6,0.48,5.37,2.59,4.2,3.7,0.39,0.09,0.03,0.15,3.66,0,0,0,0,15.77,5.79,3.9,0.79,2.64,1.17,3.18,1.17,0.86,0.02,0.11,0.68,0.08,0.32,0,0.28,7.59,1.16,4.2,1.94,1.79,0.28,3.75,4.29,0.79,9.28,0.57,5.77,2.73,2.5,0.65,0.03,0.68,0,0.02,0.23,0,0.11,0,0.12,0,21.28,5,6.95,0.2,0.73,0.14,0,1.96,0.74,0.14,3.52,1.91
134,"1",1,4430,69.78,77.25,1,83.53,24.48,20.5,73.16,46.21,14,5.33,0.05,0.97,0.47,0.16,3.68,8.67,5.06,12.12,8.33,2.6,4.81,0.7,14.2,4.67,3.63,5.17,9.86,2.62,4,3.52,0.27,0.09,0.02,0.07,9.8,0,0.09,0.11,0.2,14.02,2.35,2.12,4.63,2.39,0.9,3.02,0.9,0.47,0.09,0.2,0.47,0.09,0.32,0,0.07,4.04,1.31,0.79,1.2,1.04,0.18,5.17,7.36,0.95,5.53,0.52,4.13,0.86,1.81,0.16,0.14,0.56,0.25,0.05,0.81,0,0.47,0.11,0.23,0,22.44,4.97,7.45,0.36,0.41,0.07,0.05,0.77,1.31,1.87,3.88,1.31
135,"0",1,4057,94.6,76.19,20.68,58.89,27.05,35.49,75.2,39.51,5.57,1.36,0.02,0.59,0.02,0.1,0.62,4.21,8.9,12.87,4.81,3.06,5.03,1.28,7.07,6.16,2.61,1.77,8.75,3.06,3.18,2.42,0.67,0.17,0.07,0.2,11.04,0,0.1,0.05,0.15,13.83,4.49,2.86,1.23,1.55,2.91,3.23,0.99,0.57,0,0.05,0.42,0.27,0.07,0.07,0,7.96,4.26,0.86,2,0.69,0.39,3.38,2.61,0.67,9.69,1.7,4.04,3.97,3.6,0.12,0.02,0.07,0.02,0,0.12,0,0.07,0,0.02,0.02,18.02,4.04,6.88,0.12,0.37,0.05,0,1.01,0.15,0.32,4.46,0.62
136,"0",1,4160,92.04,70.66,17.57,42.34,25.84,30.82,75.89,42.07,7.55,3.27,0.12,1.25,0,0.19,1.71,4.28,8.12,13.34,6.68,2.43,4.57,1.03,10.6,5.77,2.57,1.42,5.65,1.85,6.2,3.39,2.48,0.12,1.51,0.17,8.34,0,0.02,0.22,0.07,14.04,4.76,3.32,1.15,1.95,1.08,3,1.44,0.77,0.14,0.36,0.5,0.1,0.19,0,0.19,8.87,1.85,2.96,2.21,1.61,1.01,4.69,3.03,2.43,8.87,2.19,4.74,2.09,4.11,0.24,0.07,2.62,0.99,0.02,0.22,0,0.07,0.05,0.12,0,20.58,4.33,6.95,0.14,0.41,0.17,0,2.19,0.53,1.13,3.7,1.03
139,"1",1,4066,95.5,43.65,33.8,33.84,25.57,24.15,65.64,41.71,3.71,0.93,0,0.61,0.02,0.05,0.25,2.78,9.39,14.54,6,3.62,6.27,1.06,7.85,5.61,4.13,1.16,9.96,2.14,1.55,1.01,0.54,0.12,0.05,0.17,2.75,0,0,0.42,0.02,13.87,3.15,4.62,0.57,2.51,1.01,3.94,2.43,0.71,1.11,0.05,0.39,0.17,0.22,0,0,3.64,0.81,0.79,1.65,0.34,0.32,4.33,3.52,0.12,12.03,1.67,7.3,3,1.43,0.05,0.12,0.1,0,0.02,0.2,0,0.07,0.05,0.07,0,20.54,4.8,8.19,0.12,0.49,0,0,0.98,0.64,0.79,3.84,0.69
140,"0",1,4034,96.4,70.31,21.6,29.93,25.06,35.25,70.85,38.25,5.9,2.55,0,0.99,0.07,0.2,1.29,3.35,7.56,14.68,4.12,1.98,4.54,0.97,7.19,5.5,2.53,0.92,6.2,1.61,3.54,1.86,1.61,0.55,0.25,0.15,7.96,0.4,0.07,0.2,0.25,12.52,3.72,3.89,0.62,2.11,0.89,2.73,1.96,0.72,0.05,0.57,2.06,0.05,1.12,0,0.87,5.88,2.13,0.77,2.26,0.47,0.47,2.53,3.84,0.69,10.66,0.47,8.43,1.74,2.97,0.52,0.4,0.15,0,0.02,0.12,0,0.02,0.1,0,0,22.68,4.56,7.76,0.15,0.47,0.22,0,1.88,0.69,1.76,4.66,0.52
142,"1",1,2644,90.57,72.36,14.44,18.01,22.22,33.32,73.64,36.31,6.13,2.91,0.04,1.4,0.04,0,1.44,3.21,5.64,12.37,4.69,2.87,5.64,0.76,7.64,6.39,3.06,1.59,7.53,2.27,10.82,4.27,4.8,0.04,3.59,0,9.04,0.04,0.08,0.26,0.11,12.9,4.05,2.84,2.04,2.34,1.13,3.74,2.65,0.45,1.51,0.49,0.53,0.23,0.19,0.19,0.11,9.27,3.78,2.12,1.59,2.23,0.11,3.48,2.99,1.29,8.85,1.17,4.35,3.1,4.99,3.74,0.04,0.38,0,0.38,0.11,0,0.04,0.04,0.04,0,29.12,6.77,10.51,0.08,0.42,0.08,0,1.51,0.45,0.61,7.19,1.51
145,"1",1,4261,97.43,81.18,14.38,22.85,26.14,29.12,75.33,41.12,4.83,1.99,0,0.33,0,0.23,1.43,2.84,9.11,15.7,4.74,2.21,5.16,0.99,6.78,3.85,2.46,0.82,5.59,6.88,3.52,1.62,1.81,0.19,0.7,0.33,12.79,0,0,0.14,0.21,11.64,2.93,2.89,1.17,1.92,1.83,3.29,0.61,0.4,0,0.16,0.16,0.02,0.05,0,0.02,13.92,8.89,2.75,2.16,1.27,0.54,2.02,3.99,0.52,9.81,1.1,7.44,1.08,3.22,3.14,0.07,1.22,0.07,0.19,0.54,0,0.45,0.02,0.05,0,24.71,4.76,7.86,0.05,0.56,0.02,0,3.87,0.66,1.15,4.46,1.31
146,"0",1,2701,96.24,48.96,15.54,41.14,20.16,29.21,65.27,38.5,3.89,0.78,0,0.44,0,0,0.33,3.11,8.7,13.48,5.74,2.15,4.89,1.07,8.18,4.63,3.22,0.59,6.52,1.52,1.15,0.96,0.11,0.04,0.04,0,4.22,0,0,0.26,0,14.07,2.85,5.15,1.33,2.44,0.81,3.85,4.92,4.7,0.22,0,0.11,0,0.07,0,0.04,2.74,0.63,0.33,1.78,0.11,0.07,4.11,3.48,0.74,9.55,0.96,5.18,3.04,2.3,0,0.04,0.3,0,0,0.15,0,0.15,0.11,0,0,22.55,5.92,7.55,0.22,0.67,0.04,0,2.22,0.22,0.56,3.92,1.22
148,"0",1,4341,92.77,86.46,14.85,45.22,31.01,24.76,77.29,40.82,5.25,1.98,0,0.9,0.02,0.18,0.88,3.27,7.46,14.01,6.7,3.29,5.57,0.71,9.24,7.23,3.75,1.41,8.41,4.22,3.46,2.23,1.17,0.48,0.14,0.25,13.98,0.6,2.05,2,3.62,11.31,3.06,2.14,2,2.26,1.29,3.16,0.92,0.69,0.05,0.05,1.89,0.21,0.35,0.99,0.07,9.01,5.16,0.92,1.84,0.85,0.58,3.2,4.63,1.11,10.71,0.51,5.81,4.24,1.8,0.18,0.14,0.46,0,0.05,0.51,0.02,0.28,0.12,0.09,0,21.79,3.5,7.9,0.16,0.3,0.12,0,1.89,0.92,1.45,4.61,0.94
150,"0",1,3768,98.35,50.11,39.31,19.07,27.3,24.73,67.41,41.53,3.48,0.8,0,0.4,0,0.13,0.27,2.68,10.96,15.34,5.44,3.13,4.14,0.5,8.17,5.2,3.61,1.06,7.22,1.65,1.91,0.69,1.14,0,0.05,1.06,2.97,0,0,0.11,0.13,10.11,2.87,3.05,0.48,1.65,0.98,2.84,3.9,3.18,0,0.29,0.8,0.48,0.05,0.19,0.05,4.56,0.66,1.43,2.42,0.4,0.05,4.83,2.63,0.42,14.28,2.23,9.24,2.79,2.23,0.05,0.03,0.05,0.03,0,0.08,0,0.03,0.03,0,0,20.46,4.35,7.43,0.13,0.5,0.05,0,1.46,0.42,0.77,4.62,0.72
151,"0",1,2547,95.01,58.54,11.33,4.76,28.62,30.07,69.34,36.75,4.95,1.45,0.04,0.47,0,0.12,0.82,3.49,7.42,13.19,4.71,2.63,4.91,0.86,9.31,5.69,3.34,1.18,8.28,1.81,4.59,0.98,3.02,0.12,0.16,0.24,5.26,0,0.04,0.16,0.08,12.96,3.46,4.04,0.98,1.37,1.96,2.67,3.06,1.1,0.08,1.45,2.83,0.94,1.69,0.08,0.16,3.93,0.79,0.79,1.61,0.39,0.55,4.2,3.53,0.75,8.68,1.06,4.75,2.87,2.55,0.59,0.47,0.12,1.92,0.12,0.47,0,0.16,0.31,0,0,23.32,4.24,7.97,0.47,0.39,0,0,1.45,1.33,1.85,5.06,0.55
153,"0",1,4025,97.69,50.99,50.46,36.71,27.2,28.15,69.14,39.53,4.35,1.02,0,0.82,0,0.05,0.15,3.33,10.46,14.09,4.2,2.26,5.59,0.65,7.48,6.24,3.78,1.02,6.48,1.49,1.76,1.19,0.57,0.05,0.2,0.12,2.78,0,0.05,0,0.05,11.43,3.63,2.98,0.45,2.14,0.7,2.71,4.87,3.16,0.02,0.17,0.2,0.07,0.07,0.02,0.02,3.53,1.61,0.37,1.52,0.2,0.05,4.12,2.68,0.47,15.23,0.42,13.57,1.12,2.06,0.05,0.12,0.3,0,0,0.2,0,0.12,0.02,0.05,0,22.11,4.47,6.61,0.32,0.35,0.02,0,3.38,0.3,0.4,4.7,1.57
154,"1",1,2680,93.86,68.34,19.58,53.1,22.71,32.61,70.52,38.13,5.6,1.98,0.04,1.16,0,0.07,0.71,3.62,7.24,13.13,5.6,2.61,4.4,1.04,7.8,5.82,3.51,0.63,4.63,2.69,2.95,2.2,0.75,0.07,0.19,0.07,7.65,0,0.07,0.07,0.11,11.75,4.1,1.68,0.75,1.42,1.23,2.95,0.97,0.63,0,0.07,0.26,0.04,0.22,0,0,6.46,1.64,2.09,1.94,1.19,0.49,2.57,4.93,0.41,9.59,1.34,6.53,1.75,4.59,0.04,0.15,0.82,0.04,0.07,0.78,0,0.6,0.07,0.11,0,23.21,5.41,6.87,0.11,0.63,0.07,0,3.69,0.37,1.01,4.22,0.82
155,"0",1,3757,96.05,66.78,50.36,12.12,24.88,35.77,73.81,39.39,5.4,2.05,0.03,1.36,0,0.03,0.64,3.35,7.32,15.09,5.22,2.77,4.45,0.48,7.64,4.71,2.87,0.9,5.94,1.22,3.78,1.36,2.4,0.16,2.1,0.16,6.04,0,0.05,0.43,0.08,13.71,4.42,2.87,1.44,2.37,1.06,2.56,1.7,0.93,0.03,0.03,0.16,0.03,0.08,0.03,0.03,8.54,2.21,3.17,4.74,0.88,0.08,3.35,3.38,1.52,15.52,0.8,12.32,2.37,2.85,0.13,0.05,0.16,0,0,0.32,0,0.24,0.03,0.05,0,21.93,4.82,7.72,0.13,0.43,0,0.03,2.13,0.69,0.83,4.47,0.69
158,"1",1,4388,97.15,52.28,29.67,28.05,31.34,33.14,62.69,36.46,4.54,1.28,0,0.96,0,0,0.32,3.26,8.91,13.1,4.03,2.26,4.58,0.41,5.67,4.17,2.37,1.3,5.97,1.19,1.73,0.82,0.68,0.25,0.16,0.21,3.17,0,0.09,0.09,0.09,14.31,3.99,4.51,0.96,2.69,0.87,3.14,1.57,0.64,0,0.25,0.27,0.11,0,0,0.16,4.58,1.21,1.12,1.94,0.73,0.57,2.92,2.14,0.93,11.62,1.09,8.3,2.3,2.64,0.21,0.07,0.3,0,0,0.36,0,0.3,0.27,0.07,0,22.56,4.74,7.98,0.16,0.64,0,0,3.08,0.05,0.14,5.1,0.68
161,"0",1,4268,97.68,63.39,9.74,11.06,22.46,28.07,71.72,38.94,4.4,1.57,0,0.63,0,0.28,0.66,2.84,8.79,14.95,4.73,2.3,4.08,0.75,7.03,6.16,3.66,0.77,8.11,2.93,3.44,1.01,2.16,1.83,1.22,0.16,6.56,0.52,0.02,0.23,0.14,11.53,2.32,4.01,0.3,2.23,0.73,3.02,4.69,2.25,0.02,0.49,0.82,0.3,0.33,0.05,0.14,5.9,1.43,0.77,3.49,0.26,1.41,4.43,2.55,0.35,8.46,1.17,4.59,3.09,2.51,0.21,0.05,0.07,0.05,0,1.1,0,1.01,0,0.59,0,20.27,5.2,6.56,0.19,0.45,0.07,0,2.51,0.14,0.47,3.8,0.89
165,"0",1,1078,96.29,62.04,9.36,77.07,25.67,33.86,67.9,39.52,6.22,3.15,0,1.11,0,0,2.04,3.06,8.53,14.29,3.43,2.69,5.19,0.74,5.94,4.27,2.97,1.58,6.22,1.76,3.15,2.97,0.19,0.09,0,0.09,6.77,0,0.09,0.09,0.19,15.03,3.8,4.64,1.3,2.41,0.56,4.08,3.06,2.13,0,0.09,0.28,0,0.19,0.09,0,2.88,1.48,0.65,0.28,0.19,0.28,2.41,3.34,1.02,6.49,0.65,3.25,2.13,3.15,0.19,0.09,1.21,0,0,0.09,0,0.09,0,0,0,20.96,5.57,7.33,0.28,0.19,0.09,0,1.3,0,0.65,4.82,0.74
167,"0",1,2825,95.61,47.31,49,24.09,22.42,29.77,61.56,35.12,3.29,0.6,0,0.35,0,0.04,0.21,2.69,9.17,11.01,4.04,3.04,5.88,0.5,6.27,5.24,3.65,0.71,9.27,1.81,0.88,0.39,0.5,0.14,0.04,0.32,2.48,0,0,0.46,0.11,13.1,4.42,3.75,0.5,2.58,0.5,3.01,4.04,1.66,0.04,0.14,0.67,0.42,0.14,0,0.11,3.68,0.71,0.6,2.3,0.04,0.5,3.82,2.16,0.53,13.95,1.2,9.95,3.33,1.38,0.14,0.04,0.07,0,0,0.21,0,0.07,0.11,0.04,0,26.12,6.05,10.37,0.18,0.28,0.04,0,1.17,0.21,0.57,6.16,1.1
201,"1",1,14504,97.16,49.01,42.97,25.55,26.04,30.83,68.71,39.18,5.13,1.17,0.12,0.73,0.01,0,0.31,3.96,8.45,14.97,4.63,2.34,4.5,0.61,7.52,5.57,3.33,0.91,4.54,2.28,2.79,1.27,1.28,0.06,0.07,0.97,2.72,0.02,0.06,0.01,0,13.38,4.8,2.92,0.6,2.43,1.36,2.99,1.49,0.92,0.13,0.41,0.28,0.06,0.05,0.02,0.14,4.32,1.27,1.22,1.6,0.46,0.66,1.79,5.36,0.97,12.64,0.99,7.18,4.52,2.03,0.21,0.19,0.32,0.01,0.03,0.24,0,0.19,0.03,0.05,0,21.55,5.33,6.25,0.19,0.86,0.17,0,2.07,0.86,0.2,4.54,1.07
202,"1",1,7352,94.03,61.31,26.13,56.33,24.18,32.39,72.18,39.92,5.44,1.97,0,1.26,0.29,0.05,0.37,3.47,7.85,13.68,5.92,2.82,5.33,0.72,9.74,5.4,3.05,0.63,5.88,2.5,3.2,2.33,0.71,0.05,0.15,0.11,5.54,0.07,0.05,0.07,0.1,16,5.33,4.13,0.94,3.2,1.16,3.48,1.47,0.83,0.08,0.04,0.72,0.19,0.24,0.15,0.27,7.58,1.9,3.55,1.59,0.97,0.52,3.96,4.11,0.94,9.34,1.31,5.29,2.68,2.67,0.45,0.26,0.27,0,0,0.34,0.01,0.12,0.04,0.18,0,18.17,4.56,6.92,0.19,0.6,0.1,0,1.7,0.44,0.07,3.07,0.53
203,"1",1,3411,95.88,40.15,35.45,29.7,25.65,29.52,65.38,37.38,3.9,0.88,0.03,0.26,0.12,0,0.47,3.02,6.27,14.95,5.1,2.26,4.84,1.29,7.51,5.92,4.37,0.79,7.33,2.35,0.85,0.5,0.26,0.06,0.03,0.15,3.17,0.03,0.03,0.23,0.12,14.66,4.51,3.4,0.79,1.67,0.76,4.72,6.42,3.34,1.08,0.12,0.18,0.15,0,0.03,0,2.32,0.64,0.32,1.03,0.29,0.18,3.72,3.11,0.32,10.29,0.56,8.06,1.7,1.73,0.12,0.09,0.12,0,0,0.32,0,0.29,0.06,0,0,24.27,5.13,6.24,0.35,0.47,0,0,2.35,0.5,0.44,5.48,3.31
204,"1",1,6880,93.26,52.33,22.06,38.99,30.85,33.21,68.05,40.55,5.19,0.96,0.06,0.36,0,0.15,0.39,4.23,6.92,14.42,6.38,2.43,6.12,0.77,8.79,3.75,2.22,0.74,3.2,1.32,2.57,1.61,0.87,0.22,0.22,0.07,4.58,0,0.04,0.01,0.13,14.46,4.07,3.72,0.84,3.42,0.99,3.53,1.42,0.49,0.03,0.2,1.15,0.73,0.38,0,0.03,5.25,1.86,1.05,1.98,0.57,0.2,1.66,5.64,1.34,9.71,1.15,6.42,2.33,4.26,0.15,0.06,0.2,0.06,0,0.19,0,0.03,0.04,0.12,0,20.81,4.9,7.15,0.09,0.93,0.01,0,2.34,0.2,0.35,4.69,0.15
205,"1",1,19565,92.62,64.01,27.4,30.15,26.69,35.79,72.27,38.96,6.17,1.87,0.01,0.88,0.03,0.04,0.91,4.31,6.03,14.3,5.36,3.2,5.06,0.75,8.08,6.72,4.37,0.96,3.95,3.26,2.92,1.56,1.3,0.15,0.28,0.22,7.04,0.08,0.09,0.04,0.11,13.23,4.2,2.49,1.22,2.93,0.95,3.59,1.25,0.82,0.1,0.09,0.56,0.17,0.2,0.07,0.13,6.73,2.05,1.42,2.65,0.53,0.45,1.76,5.61,0.71,10.86,1.04,7.77,1.94,4.99,0.5,0.11,0.47,0.28,0.09,0.3,0.02,0.1,0.05,0.13,0,21.05,4.85,8.87,0.22,0.76,0.07,0.01,0.03,0.52,0.34,4.23,1.16
206,"1",1,5820,95.25,51.1,21.36,44.66,26.22,33.52,71.63,44.64,5.22,0.86,0.09,0.27,0,0.02,0.48,4.36,9.31,15.64,7.03,3.56,5.62,0.62,9.4,5.76,3.14,1.25,3.81,3.42,2.29,1.65,0.62,0.02,0.03,0.41,3.99,0.02,0.03,0.03,0.02,13.88,4.5,1.74,1.24,3.09,1.8,3.28,2.3,1.12,0.29,0.38,0.72,0.29,0.15,0,0.27,4.47,0.82,1.46,1.6,0.86,0.26,1.46,7.41,0.76,9.62,0.69,6.77,2.15,2.35,0.15,0.02,0.22,0,0,0.12,0,0,0.03,0.07,0,15.53,3.75,5.58,0.12,0.1,0.21,0,0.65,0.34,0.38,1,3.4
207,"1",1,12906,94.63,41.84,55.32,50.81,24.17,33.36,71.75,37.1,4.56,1.17,0.17,0.81,0.01,0.02,0.17,3.39,6.27,14.24,4.97,2.5,5.74,0.67,8.56,6.63,5.07,0.85,5.21,2.97,2.79,2.06,0.72,0.05,0.09,0.27,2.3,0,0.03,0.02,0.01,16.64,5.32,3.67,1.03,3.53,1.61,4.33,1.07,0.87,0.08,0.04,0.1,0.03,0.02,0,0.05,5.32,1.25,1.77,1.39,0.98,0.46,2.84,5.44,0.78,13.03,0.92,6.33,5.75,6.94,0.1,0.01,0.21,0,0,0.19,0,0.05,0.02,0.13,0,19.09,4.67,7.22,0.16,1.02,0.02,0,0.96,0.36,0.23,3.49,0.95
208,"1",1,6812,96.09,66.91,12.24,55.67,21.63,34.81,66.41,36.73,4.89,1.59,0.15,0.51,0.04,0.19,0.69,3.3,6.62,14.62,4.3,1.75,5.53,0.6,6.34,4.14,3.11,0.38,7.38,2.32,3.54,2.51,0.92,0.38,0.15,0.16,7.57,0.01,0.03,0.25,0.29,11.2,3.49,2.88,0.54,1.17,0.97,3.01,0.79,0.48,0.07,0.09,0.32,0.04,0.13,0.01,0.13,6.44,1.92,1.51,2.07,1.09,0.63,3.42,2.66,0.81,8.1,1.38,5.23,1.44,3.7,0.15,0.03,0.25,0.07,0.01,0.48,0,0.28,0.15,0.07,0,26.16,5.36,9.12,0.26,0.57,0,0,3.24,0.44,0.53,4.55,2.08
209,"1",1,7233,96.85,50.94,29.48,66.83,28.14,35.64,69.22,37.02,4.04,0.98,0,0.77,0.01,0.01,0.18,3.06,7.99,14.01,4.24,2.25,5.16,0.75,8.03,6.15,3.14,0.75,6.37,1.51,5.05,3.14,0.97,0.15,0.26,0.18,3.37,0,0.04,0.15,0.01,16.84,4.29,5.79,0.9,2.18,2.05,3.18,3.37,2.14,0,0.53,0.46,0.39,0.07,0.15,0,7.3,1.47,2.16,2.07,1.99,0.59,3.64,2.81,0.59,11.21,2,6,3.32,3.1,0.26,0.07,0.69,0,0,0.97,0,0.84,0.28,0.11,0,20.72,4.29,8.65,0.22,0.76,0.01,0,1.04,0.03,0.04,4.85,0.83
210,"1",1,9389,96.83,69.7,12.66,50.2,26.23,34.15,72.93,39.77,5.05,1.47,0.03,0.7,0,0.01,0.72,3.57,9.42,14.17,4.25,2.62,5.49,0.66,7.02,5.47,3.54,0.92,4.93,2.89,4.44,2.82,1.51,0.55,0.59,0.22,8.09,0,0.03,0.19,0.05,13.91,4.21,3.29,1.47,2.24,1.78,2.95,1.6,0.62,0.05,0.04,0.38,0.06,0.28,0,0.05,10.77,5,2.47,3.55,1.08,0.6,2.47,3.73,0.87,8.44,0.77,6,1.57,3.72,2.47,0.02,0.47,0.39,0.09,0.38,0,0.17,0.07,0.14,0,23.01,5.13,7.44,0.1,0.87,0,0,2.24,0.45,0.64,4.6,1.53
211,"1",1,7650,95.68,66.18,56.37,27.07,23.91,27.67,71.15,36.58,4.48,1.28,0.03,0.77,0,0,0.48,3.2,6.65,14.1,3.92,2.85,5.23,0.73,6.21,5.99,3.84,0.76,5.92,3.42,1.82,0.94,0.86,0.03,0.07,0.43,8.05,0.05,0.05,0.44,0.37,12.29,3.16,1.93,0.65,2.68,0.89,3.88,1.01,0.68,0.01,0.16,0.58,0.01,0.52,0.03,0,7.67,1.92,0.63,4.76,0.33,0.39,2.2,3.62,0.86,15.54,1.18,8.03,6.35,4.22,0,0.05,0.3,0.03,0.05,0.33,0.01,0.12,0.01,0.18,0,27.12,5.46,8.95,0.12,0.97,0.04,0.01,4.2,0.63,0.21,4.84,1.7
212,"1",1,10171,97.3,56.76,43.75,35.93,23.44,30.44,69.07,39.22,4.22,1.18,0.04,0.87,0,0.02,0.26,3.04,9.23,14.35,4.91,2.56,4.9,0.44,7.39,5.48,3.7,0.79,4.6,2.35,1.75,1.14,0.56,0.02,0.12,0.29,4.39,0.03,0.11,0.02,0.02,12.24,3.96,3.95,0.76,2.01,0.53,3.04,1.03,0.64,0.3,0.04,0.16,0.08,0.03,0,0.05,6.23,1.33,1.41,3.37,0.87,0.13,1.53,5.13,0.7,13.79,1.95,8.43,3.23,2.59,0.1,0.39,0.12,0.02,0,0.29,0.04,0.17,0.11,0.06,0,18.79,5.21,5.95,0.22,0.31,0.1,0,1.4,0.31,0.08,4.72,0.49
213,"1",1,4158,94.35,41.72,53.66,32.8,14.05,29.97,60.8,33.89,3.9,0.87,0.1,0.58,0,0,0.19,3.03,6.78,11.98,4.71,2.55,4.86,1.03,6.59,4.14,2.91,1.32,8.85,2.07,1.27,0.84,0.43,0.12,0.1,0.1,2.09,0,0.02,0,0.02,14.94,6.23,2.72,0.84,2.09,1.25,3.63,1.76,1.25,0,0.07,0.07,0.05,0.02,0,0,3.22,0.77,0.72,1.2,0.63,0.17,3.46,3.34,0.46,12.43,1.15,6.69,4.64,2.69,0,0.05,0.1,0,0,0.41,0,0.36,0.17,0,0,26.14,7.6,7.77,0.36,0.22,0.36,0,2.53,0.1,0.22,5.32,1.68
214,"1",1,4489,96.05,49.64,13.45,25.77,18.1,30.39,66.58,39.9,4.88,1.11,0.29,0.33,0,0,0.49,3.76,10.14,12.68,5.7,2.61,4.48,1.05,8.13,4.7,2.81,0.89,6.39,2.32,1.56,0.78,0.78,0.09,0.2,0.13,3.74,0,0,0.11,0,12.5,3.79,4.05,0.65,1.92,1.14,2.83,3.56,2.81,0.07,0.2,0.31,0.09,0.07,0.02,0.11,3.05,0.51,0.96,1.11,0.2,0.56,2.34,5.26,0.27,8.11,0.96,5.26,2.09,2.9,0.2,0.02,0.45,0,0,0.51,0,0.45,0.27,0.02,0,24.84,6.82,7.8,0.71,0.4,0.11,0,1.6,0.76,0.16,4.61,1.87
